Name,City,Country
Arthur,Binitayan,Philippines
Carolyn,Tindog,Philippines
Thomas,Hamar,Norway
Carl,Altos,Brazil
Karen,Sułoszowa,Poland
Gary,Repentigny,Canada
Michelle,Horka nad Moravou,Czech Republic
Tina,Cap-Santé,Canada
Billy,Querobamba,Peru
Diane,Zhongxinqiao,China
Mark,Paledang,Indonesia
Timothy,Dar es Salaam,Tanzania
Mark,Nageswari,Bangladesh
Julia,Inđija,Serbia
Bonnie,Passos,Portugal
Johnny,Lugovoy,Kazakhstan
Angela,Fengjiang,China
Terry,San Antonio,United States
Anna,Alençon,France
Robert,Zheleznogorsk-Ilimskiy,Russia
Patricia,Wyszki,Poland
Rachel,Zumarraga,Philippines
Bobby,Templeogue,Ireland
Dorothy,Tushi,China
Earl,Romba,Indonesia
Denise,Shuvakish,Russia
Lisa,Pueai Noi,Thailand
Earl,São Pedro de Muel,Portugal
Jean,Revelstoke,Canada
Sharon,Tianxin,China
Paula,Shiqiao,China
Shirley,Senduro,Indonesia
Frances,Buritis,Brazil
Gary,Fuli,China
Todd,Caminauit,Philippines
Angela,Zaliznychne,Ukraine
Thomas,Sheksna,Russia
Norma,Vĩnh Tường,Vietnam
Richard,Capão da Canoa,Brazil
Jack,Lubaczów,Poland
Shirley,Dongsheng,China
Carol,Rungis,France
Brenda,Mszana Dolna,Poland
David,Baiyang,China
Maria,Pangushan,China
Patrick,Anolaima,Colombia
Catherine,Bachuan,China
Kathy,Saint Louis,United States
Joan,Yeroẖam,Israel
William,Gaoua,Burkina Faso
Tammy,Dampek,Indonesia
Patrick,Kauit,Philippines
Scott,Austin,United States
Amanda,Oskarshamn,Sweden
Joe,Zaplavnoye,Russia
Brenda,Granada,Colombia
Kelly,Spitak,Armenia
Bobby,Subaykhān,Syria
Anna,Mingora,Pakistan
Margaret,Biharamulo,Tanzania
Anthony,Czechowice-Dziedzice,Poland
Judy,Jales,Brazil
Antonio,Rybnoye,Russia
Ashley,Baiyanghe,China
